pair,variant,model,apply_motion,total_seconds,matching_seconds,control_points,candidate_control_points,coverage_fraction,background_std_improvement,background_abs_mean_improvement,background_p95_abs_improvement,roi_abs_mean_improvement,vessel_abs_signal_ratio,vessel_contrast_ratio,vessel_edge_strength_ratio,mean_displacement,max_displacement,vessel_density_roi,support_fraction_roi,intensity_applied,haze_applied
0_coronary,current,nonrigid,True,10.689171900005022,6.417043499997817,48,152,0.3125,0.12620569240899226,0.17143063500916683,0.11866178950781528,0.09935930697302653,1.0143054404138003,1.205302349400741,0.9879194689422605,0.5109598859285919,4.07519639147588,0.24326229434437663,0.24326229434437663,True,True
0_coronary,no_vessel_support,nonrigid,True,12.17840630000137,8.863814700001967,48,152,0.25,0.09332250517611239,0.1444331582754025,0.13470554095669796,0.11145450567712395,0.9915201263540355,1.0590519577637232,0.9825378778541254,0.8237137875823655,3.162346300617178,0.09607510835820447,0.09607510835820447,True,True
0_coronary,no_intensity_correction,nonrigid,True,9.630585499995505,5.938577400003851,48,152,0.3125,0.0744258275112563,0.07927201480238376,0.05861106610357474,0.04896925743361524,0.9988216648532872,1.0791272888051773,0.9856124249336121,0.5109598859285919,4.07519639147588,0.24326229434437663,0.24326229434437663,False,True
0_coronary,no_haze_correction,nonrigid,True,9.654875500003982,5.922020100006193,48,152,0.3125,0.0944225331002851,0.124148602475794,0.08323700627475483,0.07097080501753111,1.0128966783279048,1.153823662838782,0.9882265708980519,0.5109598859285919,4.07519639147588,0.24326229434437663,0.24326229434437663,True,False
0_coronary,no_nonrigid_preference,rigid,True,9.626602799995453,6.04256069999974,48,152,0.3125,0.11542687594450132,0.1691485816867193,0.10800094835934436,0.09831070413513876,1.013408750410897,1.201136880577782,0.985945725239859,0.33195305489005333,0.97788011878365,0.24326229434437663,0.24326229434437663,True,True
0_coronary,rigid_affine_only,rigid,True,9.52255430000514,5.864302300004056,48,152,0.3125,0.11542687594450132,0.1691485816867193,0.10800094835934436,0.09831070413513876,1.013408750410897,1.201136880577782,0.985945725239859,0.33195305489005333,0.97788011878365,0.24326229434437663,0.24326229434437663,True,True
coronary_jpg,current,nonrigid,True,8.652447300002677,4.7437613000001875,24,113,0.3125,0.13051935315604035,0.17316727624975592,0.11916355179847408,0.1387173573652388,0.9924151768492623,0.564886472410667,1.0015516983067123,0.5991812793647947,3.9732255742176044,0.3001004047566753,0.3001004047566753,True,True
coronary_jpg,no_vessel_support,nonrigid,True,10.872901099995943,7.277607700001681,29,113,0.375,0.118721497623312,0.14641109169430583,0.11656036178097548,0.1318000054133963,1.0197450973454896,-0.4251175276930439,0.9858605058137474,0.8533665034236386,5.299907368255419,0.09823977910953531,0.09823977910953531,True,True
coronary_jpg,no_intensity_correction,nonrigid,True,8.52620190000016,4.8321636999971815,24,113,0.3125,0.04432289674612497,0.07032788350915845,0.04043775934555713,0.05995888770690032,0.9795103687592522,0.8508295633501558,0.9911358268429715,0.5991812793647947,3.9732255742176044,0.3001004047566753,0.3001004047566753,False,True
coronary_jpg,no_haze_correction,nonrigid,True,8.889280799994594,4.963491599999543,24,113,0.3125,0.09466770934316915,0.125279115374419,0.08445820133871175,0.09742776581064029,1.0085875214311242,0.6629480606804082,1.0051513272490171,0.5991812793647947,3.9732255742176044,0.3001004047566753,0.3001004047566753,True,False
coronary_jpg,no_nonrigid_preference,rigid,True,8.355655899998965,4.773145099999965,24,113,0.3125,0.13178804550416542,0.17472709462004027,0.11857985878322269,0.13994855322513008,0.9924348722588473,0.5608279127437101,0.9923142580603715,0.5561743334753426,1.8128246422658856,0.3001004047566753,0.3001004047566753,True,True
coronary_jpg,rigid_affine_only,rigid,True,8.725856999997632,4.943896000004315,24,113,0.3125,0.13178804550416542,0.17472709462004027,0.11857985878322269,0.13994855322513008,0.9924348722588473,0.5608279127437101,0.9923142580603715,0.5561743334753426,1.8128246422658856,0.3001004047566753,0.3001004047566753,True,True
cerebral,current,nonrigid,True,34.89582820000214,13.00260089999938,70,153,0.4375,0.06992486792137623,0.07428312423165107,0.039467464440315944,0.05225595213821347,0.9905104492733606,1.0072489838783156,0.996562902286294,0.32630687532016994,2.9407112883455335,0.09562935994402487,0.09562935994402487,True,True
cerebral,no_vessel_support,nonrigid,True,32.37325630000123,13.226287999998021,71,153,0.5,0.06846059564088591,0.0729912447888589,0.05718722318547982,0.05503089760313411,0.9897304467244452,1.0009440988102158,0.9985325955403126,0.34665615677548683,2.9407112883455335,0.0573653919308594,0.0573653919308594,True,True
cerebral,no_intensity_correction,nonrigid,True,36.612564800001564,14.710365699997055,70,153,0.4375,0.0417519725294844,0.038457433146687654,0.013766249977713571,0.025929671060692487,0.9983933466520648,1.0079132422118482,0.9964628470399245,0.32630687532016994,2.9407112883455335,0.09562935994402487,0.09562935994402487,False,True
cerebral,no_haze_correction,nonrigid,True,35.965404800001124,13.9505422000002,70,153,0.4375,0.04754124627093764,0.04906215248840196,0.019155531524382378,0.035208259900806435,0.9916894791532299,1.002217106503386,0.9960666475036786,0.32630687532016994,2.9407112883455335,0.09562935994402487,0.09562935994402487,True,False
cerebral,no_nonrigid_preference,rigid,True,34.97427750000497,13.582926399998541,70,153,0.4375,0.06512063417854044,0.06710394107617444,0.03283515731503926,0.04745622798231456,0.9906903838538621,1.005620758203011,0.9976082233111465,0.18315161917518508,0.8611138834354006,0.09562935994402487,0.09562935994402487,True,True
cerebral,rigid_affine_only,rigid,True,34.93763409999519,13.844341200005147,70,153,0.4375,0.06512063417854044,0.06710394107617444,0.03283515731503926,0.04745622798231456,0.9906903838538621,1.005620758203011,0.9976082233111465,0.18315161917518508,0.8611138834354006,0.09562935994402487,0.09562935994402487,True,True
